EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	05:31:40	0.1000	0.3534	0.1141	0.8134	0.8596	0.8359	0.7618	0.1330	0.7719	0.8316	0.8006	0.7212
2	05:32:39	0.1000	0.1336	0.0759	0.8787	0.8899	0.8843	0.8283	0.0927	0.8515	0.8729	0.8620	0.8033
3	05:33:40	0.1000	0.1003	0.0691	0.8863	0.9056	0.8959	0.8489	0.0959	0.8437	0.8764	0.8597	0.8014
4	05:34:36	0.1000	0.0805	0.0587	0.9093	0.9145	0.9119	0.8728	0.0824	0.8848	0.8952	0.8900	0.8418
5	05:35:39	0.1000	0.0690	0.0549	0.9127	0.9184	0.9155	0.8786	0.0761	0.8852	0.8980	0.8915	0.8473
6	05:36:37	0.1000	0.0633	0.0509	0.9175	0.9261	0.9218	0.8877	0.0799	0.8900	0.9058	0.8979	0.8531
7	05:37:38	0.1000	0.0553	0.0483	0.9216	0.9280	0.9248	0.8931	0.0792	0.8849	0.9024	0.8936	0.8481
8	05:38:37	0.1000	0.0525	0.0459	0.9242	0.9322	0.9282	0.8951	0.0726	0.8956	0.9081	0.9018	0.8594
9	05:39:43	0.1000	0.0466	0.0449	0.9307	0.9312	0.9309	0.9004	0.0724	0.9049	0.9065	0.9057	0.8631
10	05:40:48	0.1000	0.0423	0.0447	0.9309	0.9359	0.9334	0.9039	0.0756	0.8968	0.9078	0.9022	0.8610
