EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	08:10:59	0.1000	0.5021	0.1717	0.7301	0.7561	0.7429	0.6416	0.1976	0.6588	0.7121	0.6844	0.5690
2	08:12:50	0.1000	0.1860	0.1071	0.8371	0.8657	0.8512	0.7843	0.1287	0.7759	0.8373	0.8054	0.7212
3	08:14:32	0.1000	0.1323	0.0890	0.8644	0.8798	0.8721	0.8129	0.1012	0.8198	0.8507	0.8350	0.7662
4	08:16:24	0.1000	0.1124	0.0804	0.8880	0.8888	0.8884	0.8419	0.0919	0.8491	0.8605	0.8547	0.7958
5	08:18:17	0.1000	0.0940	0.0718	0.8987	0.9068	0.9027	0.8628	0.0900	0.8507	0.8738	0.8621	0.8060
6	08:20:01	0.1000	0.0829	0.0747	0.9009	0.9015	0.9012	0.8541	0.0869	0.8614	0.8681	0.8647	0.8093
7	08:21:17	0.1000	0.0717	0.0690	0.9044	0.9105	0.9074	0.8671	0.0844	0.8710	0.8800	0.8755	0.8239
8	08:22:59	0.1000	0.0678	0.0749	0.8955	0.9058	0.9006	0.8525	0.0879	0.8517	0.8693	0.8604	0.8051
9	08:24:17	0.1000	0.0626	0.0639	0.9093	0.9160	0.9126	0.8741	0.0836	0.8752	0.8890	0.8820	0.8324
10	08:26:00	0.1000	0.0572	0.0682	0.9061	0.9125	0.9093	0.8714	0.0860	0.8701	0.8810	0.8755	0.8281
