EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	06:59:09	0.1000	0.2943	0.0931	0.8754	0.8654	0.8703	0.8118	0.1000	0.8521	0.8515	0.8518	0.7872
2	07:00:08	0.1000	0.1141	0.0625	0.9011	0.9122	0.9066	0.8653	0.0831	0.8680	0.8886	0.8782	0.8264
3	07:01:11	0.1000	0.0884	0.0523	0.9229	0.9142	0.9185	0.8800	0.0740	0.8946	0.8879	0.8912	0.8398
4	07:02:16	0.1000	0.0721	0.0461	0.9174	0.9253	0.9213	0.8862	0.0757	0.8855	0.9023	0.8938	0.8458
5	07:03:26	0.1000	0.0636	0.0443	0.9217	0.9285	0.9251	0.8900	0.0705	0.8942	0.9035	0.8988	0.8549
6	07:04:38	0.1000	0.0554	0.0426	0.9357	0.9313	0.9335	0.9001	0.0668	0.9077	0.9021	0.9049	0.8595
7	07:05:43	0.1000	0.0517	0.0393	0.9317	0.9344	0.9330	0.9029	0.0686	0.9065	0.9118	0.9092	0.8671
8	07:06:42	0.1000	0.0474	0.0387	0.9349	0.9419	0.9384	0.9128	0.0723	0.8990	0.9152	0.9070	0.8650
9	07:07:56	0.1000	0.0439	0.0383	0.9326	0.9403	0.9364	0.9064	0.0775	0.8900	0.9101	0.8999	0.8564
10	07:08:57	0.1000	0.0415	0.0377	0.9371	0.9396	0.9383	0.9108	0.0695	0.9069	0.9141	0.9105	0.8686
