EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	07:13:04	0.1000	0.2673	0.0857	0.8837	0.8760	0.8798	0.8259	0.0950	0.8406	0.8504	0.8454	0.7777
2	07:14:21	0.1000	0.1049	0.0534	0.9081	0.9127	0.9104	0.8696	0.0803	0.8722	0.8844	0.8782	0.8275
3	07:15:55	0.1000	0.0812	0.0462	0.9268	0.9222	0.9245	0.8879	0.0661	0.8985	0.8978	0.8982	0.8518
4	07:17:39	0.1000	0.0684	0.0409	0.9246	0.9290	0.9268	0.8932	0.0694	0.8907	0.9021	0.8964	0.8521
5	07:19:16	0.1000	0.0595	0.0429	0.9278	0.9293	0.9285	0.8945	0.0679	0.9063	0.9090	0.9076	0.8655
6	07:21:01	0.1000	0.0551	0.0368	0.9333	0.9379	0.9356	0.9071	0.0667	0.9010	0.9125	0.9068	0.8653
7	07:22:45	0.1000	0.0491	0.0359	0.9372	0.9398	0.9385	0.9118	0.0594	0.9111	0.9201	0.9156	0.8773
8	07:24:21	0.1000	0.0455	0.0373	0.9336	0.9364	0.9350	0.9089	0.0668	0.9040	0.9152	0.9096	0.8663
9	07:25:32	0.1000	0.0426	0.0343	0.9452	0.9435	0.9443	0.9177	0.0632	0.9150	0.9170	0.9160	0.8760
10	07:27:15	0.1000	0.0405	0.0364	0.9439	0.9406	0.9423	0.9173	0.0678	0.9148	0.9148	0.9148	0.8758
