EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	08:29:48	0.1000	0.3903	0.1252	0.8160	0.8465	0.8310	0.7574	0.1540	0.7747	0.8272	0.8001	0.7218
2	08:31:47	0.1000	0.1477	0.0822	0.8581	0.8815	0.8697	0.8101	0.1077	0.8251	0.8598	0.8421	0.7786
3	08:33:55	0.1000	0.1089	0.0762	0.8858	0.8967	0.8912	0.8401	0.0887	0.8613	0.8754	0.8683	0.8106
4	08:35:59	0.1000	0.0912	0.0675	0.8932	0.9022	0.8977	0.8553	0.0960	0.8640	0.8872	0.8754	0.8242
5	08:38:44	0.1000	0.0794	0.0556	0.9129	0.9187	0.9158	0.8781	0.0802	0.8787	0.8989	0.8887	0.8424
6	08:41:26	0.1000	0.0694	0.0583	0.9171	0.9123	0.9147	0.8745	0.0779	0.8885	0.8872	0.8878	0.8382
7	08:43:52	0.1000	0.0607	0.0535	0.9079	0.9170	0.9124	0.8756	0.0826	0.8688	0.8888	0.8787	0.8300
8	08:45:41	0.1000	0.0543	0.0486	0.9176	0.9276	0.9226	0.8902	0.0779	0.8876	0.9017	0.8946	0.8478
9	08:47:44	0.1000	0.0527	0.0453	0.9287	0.9318	0.9303	0.8992	0.0761	0.8952	0.9072	0.9012	0.8546
10	08:50:54	0.1000	0.0476	0.0465	0.9250	0.9339	0.9294	0.9005	0.0805	0.8832	0.9090	0.8959	0.8478
