EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	07:53:05	0.1000	0.6803	0.2721	0.6248	0.6747	0.6488	0.5283	0.3039	0.5699	0.6381	0.6021	0.4794
2	07:54:48	0.1000	0.2768	0.1782	0.7401	0.7523	0.7461	0.6358	0.1960	0.6769	0.7133	0.6947	0.5800
3	07:56:25	0.1000	0.1950	0.1282	0.8078	0.8455	0.8262	0.7472	0.1518	0.7616	0.8164	0.7881	0.7035
4	07:58:03	0.1000	0.1517	0.1165	0.8229	0.8369	0.8299	0.7574	0.1284	0.7789	0.8095	0.7939	0.7117
5	07:59:43	0.1000	0.1321	0.1041	0.8631	0.8607	0.8619	0.8023	0.1193	0.8237	0.8307	0.8272	0.7541
6	08:01:09	0.1000	0.1147	0.0930	0.8518	0.8738	0.8627	0.8012	0.1121	0.8035	0.8399	0.8213	0.7491
7	08:02:49	0.1000	0.0994	0.0903	0.8687	0.8766	0.8727	0.8219	0.1070	0.8254	0.8477	0.8364	0.7733
8	08:04:32	0.1000	0.0904	0.0950	0.8561	0.8642	0.8601	0.8079	0.1088	0.8114	0.8283	0.8198	0.7589
9	08:05:49	0.1000	0.0789	0.0825	0.8758	0.8899	0.8828	0.8314	0.0998	0.8357	0.8576	0.8466	0.7856
10	08:07:42	0.1000	0.0743	0.0811	0.8726	0.8884	0.8804	0.8294	0.0968	0.8384	0.8637	0.8509	0.7877
